Time (s),ECG
0.0,0.43275197229059376
0.001,0.43019707140152863
0.002,0.42430714544869874
0.003,0.4150680817850491
0.004,0.4025464934126303
0.005,0.3870014398515381
0.006,0.3686937127583152
0.007,0.3478846265074917
0.008,0.3248360181915859
0.009000000000000001,0.29981024762110364
0.01,0.27307019732453836
0.011,0.24487256116571812
0.012,0.21544697471200883
0.013000000000000001,0.1850165121146076
0.014,0.15380477023765668
0.015,0.12203586866328603
0.016,0.08993444969161328
0.017,0.05772567834074421
0.018000000000000002,0.02563524234677215
0.019,-0.00611064783622183
0.02,-0.03728525903616914
0.021,-0.06765425706098539
0.022,-0.0969857585891085
0.023,-0.12515801781372815
0.024,-0.1520718653693472
0.025,-0.17763660049423327
0.026000000000000002,-0.20177028985876627
0.027,-0.22439976756543803
0.028,-0.2454606351488527
0.029,-0.26489726157572613
0.03,-0.2826627832448864
0.031,-0.2987250362958303
0.032,-0.31308635856211847
0.033,-0.32576483177345594
0.034,-0.3367873052188096
0.035,-0.3461893956192586
0.036000000000000004,-0.3540154871279937
0.037,-0.3603187313303181
0.038,-0.3651610472436472
0.039,-0.36861312131750795
0.04,-0.37075440743353966
0.041,-0.37166852983512705
0.042,-0.3714273908924706
0.043000000000000003,-0.3701059541652904
0.044,-0.3677879504052539
0.045,-0.3645658777961402
0.046,-0.36054100195384087
0.047,-0.3558233559263589
0.048,-0.35052940376649666
0.049,-0.3447255698781587
0.05,-0.338472312290659
0.051000000000000004,-0.33184284269905073
0.052000000000000005,-0.3249261065270384
0.053,-0.3178120239763076
0.054,-0.3105855760994396
0.055,-0.3033268043261223
0.056,-0.2961108104631496
0.057,-0.2890077566944213
0.058,-0.2820828655809435
0.059000000000000004,-0.27539642006082843
0.06,-0.2690037634492945
0.061,-0.2629507905246511
0.062,-0.2572572397802808
0.063,-0.25193167521821314
0.064,-0.24697772037626983
0.065,-0.24239405916937926
0.066,-0.23817443588957546
0.067,-0.23430765520599883
0.068,-0.23077758216489583
0.069,-0.2275631421896191
0.07,-0.22463832108062726
0.07100000000000001,-0.2219761384133654
0.07200000000000001,-0.21956388623111298
0.073,-0.217389715849379
0.074,-0.2154368401723698
0.075,-0.21368353248139807
0.076,-0.21210312643488222
0.077,-0.21066401606834723
0.078,-0.209330471909784
0.079,-0.2081227058731713
0.08,-0.20706970726972587
0.081,-0.20617215430040245
0.082,-0.20541090049683838
0.083,-0.20476090904259273
0.084,-0.20419751113967405
0.085,-0.20369640791290602
0.08600000000000001,-0.20323367040992743
0.08700000000000001,-0.20278573960119223
0.088,-0.2023294263799694
0.089,-0.20184191156234327
0.09,-0.201300745887213
0.091,-0.20068874323725208
0.092,-0.2000140732967491
0.093,-0.1992932300202919
0.094,-0.19854308064669604
0.095,-0.19778086233759232
0.096,-0.19702418217742657
0.097,-0.1962910171734598
0.098,-0.19559971425576808
0.099,-0.19496899027724274
0.1,-0.19441793201359012
0.101,-0.19396048163067495
0.10200000000000001,-0.19358198784116734
0.10300000000000001,-0.19325861419127405
0.10400000000000001,-0.1929668651770971
0.105,-0.19268361521755387
0.106,-0.19238610865437672
0.107,-0.19205195975211317
0.108,-0.191659152698126
0.109,-0.19118604160259287
0.11,-0.19061135049850678
0.111,-0.18991869168690667
0.112,-0.1891164190340569
0.113,-0.18821627075704409
0.114,-0.1872276806940853
0.115,-0.18616415396909688
0.116,-0.1850392194062908
0.117,-0.18386642941880557
0.11800000000000001,-0.1826593600087054
0.11900000000000001,-0.18143161076698078
0.12,-0.1801968048735484
0.121,-0.1789664333625345
0.122,-0.17774005842763746
0.123,-0.1765131468787156
0.124,-0.17528118527541747
0.125,-0.1740396837663178
0.126,-0.1727841760889174
0.127,-0.17151021956964327
0.128,-0.1702133951238485
0.129,-0.168889307255812
0.13,-0.1675335840587392
0.131,-0.16614276680639328
0.132,-0.1647184908131614
0.133,-0.16326420877047254
0.134,-0.16178339903523245
0.135,-0.16027956355327302
0.136,-0.15875622785935223
0.137,-0.15721694107715406
0.138,-0.1556652759192887
0.139,-0.15410482868729236
0.14,-0.15253921927162747
0.14100000000000001,-0.15097102395892228
0.14200000000000002,-0.1493965889263488
0.14300000000000002,-0.14781001297619642
0.14400000000000002,-0.1462054152911091
0.145,-0.14457693864265647
0.146,-0.14291874939133464
0.147,-0.1412250374865656
0.148,-0.1394900164666975
0.149,-0.13770792345900473
0.15,-0.13587301917968747
0.151,-0.13398105329254162
0.152,-0.1320366282745193
0.153,-0.13004766098781717
0.154,-0.12802209747345744
0.155,-0.12596790736138844
0.156,-0.12389308387048478
0.157,-0.12180564380854716
0.158,-0.11971362757230208
